Event Name,Start Date & Time,End Date & Time,Address,Phone,Email,Image
22nd Martha's Vineyard African-American Film Festival,"08/02/2024 - 10am, EDT","08/10/2024 - 12pm, EDT","100 Edgartown-Vineyard Haven Road Oak Bluffs, MA 02557 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/d5a18a40038a2f2c21e7739370b883b9.png
Batting Across the Color Line: African American Baseball Symposium,"07/20/2024 - 10am, EDT","07/20/2024 - 1pm, EDT","220 Fayetteville Street Raleigh, NC 27601 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/2db49e777a8274dfa655590859c980d6.png
HATitude Cultural Flair 2024: An African and African-American Design Event,"10/19/2024 - 12, EDT","10/19/2024 - 2pm, EDT","1050 West Morse Boulevard Winter Park, FL 32789 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/d5fa5e710b6712037b0a650d1fabbd32.png
Family First: Move Me Collage,"07/13/2024 - 12pm, EDT",,"551 South Tryon Street Charlotte, NC 28202 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/928f8e258c9f0667617699db17ff9c72.png
Downtown Durham African American Guided History Tour,"07/06/2024 - 4, EDT","07/06/2024 - 5pm, EDT","201 Corcoran St, Durham, NC 27701 Durham, NC 27703-7825 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/51881b4014609a58fb4c57829b241abb.png
A Landmark of Work: African Americans in Decorative Arts,"07/11/2024 - 6, CDT","07/11/2024 - 8pm, CDT","5020 South Cornell Avenue Chicago, IL 60615 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/7ba5f07cd644f4f989a09d6688e68f48.png
AfroSocaLove : One Love Festival (Feat Maga Stories & More),,,"2154 24th PL  NE Washington , DC 20018 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/ddf46386c9cb8926deb62545ef961673.png
AFRICAN AMERICAN GOLF EXPO AND FORUM EXHIBIT HALL ONLY FREE PASSES,"08/24/2024 - 1pm, EDT","08/27/2024 - 12pm, EDT","4000 RCA Boulevard Palm Beach Gardens, FL 33410 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/edcfd07059c5aeb40866318cc0db77f0.png
Go Africa Carnival 2024 (7/20/2024),"07/20/2024 - 10am, EDT","07/20/2024 - 6:30pm, EDT","216 West 116th Street Adam Clayton Powell Boulevard (7th Avenue)  and Frederick Douglass Boulevard (8th Avenue) New York, NY 10026 United States",646-502-9778,info@GoAfricaCarnival.org,https://storage.googleapis.com/boroom.appspot.com/events/93b14ea2d48988aad3c1fd8576a9ac86.png
2024 MEN OF HONOR | A SALUTE TO AFRICAN AMERICAN MEN,"11/16/2024 - 6, EST","11/16/2024 - 10pm, EST","11355 Chester Road Cincinnati, OH 45246 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/ec85e582dfac456c53ef05f11d997dfd.png
Speed  Dating for African American Singles,"07/18/2024 - 7, EDT","07/18/2024 - 9pm, EDT","77 East 7th Street New York, NY 10003 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/05afca0bea7f659ec8b59724e6dc184d.png
The Moment: An Author Talk with Bakari Sellers,"07/16/2024 - 6:30, EDT","07/16/2024 - 8pm, EDT","1801 Oaklawn Avenue Charlotte, NC 28216 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/e050bbc5d588b6fad5e8891afc29c25f.png
Engaging African Americans in Research,"07/13/2024 - 11am, CDT","07/13/2024 - 1pm, CDT","6011 West Orem Drive Houston, TX 77085 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/dcb5baac22404fe9f516b7eedcb9f84c.png
The Underground Lou’s 100th Anniversary and 2 Year Celebration,"07/27/2024 - 6, EDT","07/27/2024 - 9pm, EDT","124 North 1st Street Louisville, KY 40202 United States",,,
Greensboro African American History Walking Tour,"07/06/2024 - 3, EDT","07/06/2024 - 4pm, EDT","442 Gorrell Street Greensboro, NC 27406 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/51c9a9183bdd18ec63aaa035ebedfd9e.png
Walking Tour: Abolitionists &  African Americans in Walnut Hills,"08/03/2024 - 10am, EDT","08/03/2024 - 12pm, EDT","2950 Gilbert Avenue Cincinnati, OH 45206 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/341e02d364b9b1f2a135098931f8ee7f.png
Speed Dating for African American Singles,"07/18/2024 - 7, EDT","07/18/2024 - 9pm, EDT","77 East 7th Street New York, NY 10003 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/bd63ec8868b6ee420dbf3e579e6a6b0c.png
Breaking the Stigma; Lets talk about Feelings,"07/13/2024 - 10am, CDT","07/13/2024 - 2pm, CDT","907 East Ledbetter Drive Dallas, TX 75216 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/291bd3702da196d710bc3cb4c3624308.png
National Black Business Month Mixer,"08/14/2024 - 5, EDT","08/14/2024 - 8pm, EDT","110 North Franklin Street Hempstead, NY 11550 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/5da81cdc7caaa560179b4168e2b97477.png
Black Arts Movement Business District Walking Tour,"08/10/2024 - 11am, PDT","08/10/2024 - 1:30pm, PDT","659 14th Street Oakland, CA United States",,,https://storage.googleapis.com/boroom.appspot.com/events/7560afecbc1f2c348742f96580dba7f0.png
Black Impact Collaborative Summer Bus Outings,"07/12/2024 - 6am, EDT","07/12/2024 - 10pm, EDT","5531 28th Street Southeast Grand Rapids, MI 49512 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/0a779500991f2f142133222ea29790f3.png
The Flywire's White Tie Affair 2024,"07/21/2024 - 5, EDT","07/21/2024 - 10pm, EDT","112 North Eutaw Street Baltimore, MD 21201 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/da0c2910860c3f4b93f2dc7bc03b0ae1.png
The Chattanooga Story: A Decade of Digital Opportunity Partnerships,"07/22/2024 - 10am, EDT","07/22/2024 - 6pm, EDT","1100 Market Street Suite 500 Chattanooga, TN 37402 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/cb127f7d97a7ea66fafb06c2e2cfe806.png
"July: LaToya Griffin, LMFTA ""Navigating Cultural Dynamics""","07/12/2024 - 7:30, EDT","07/12/2024 - 9am, EDT","8611 Mayhew Rd Door # 10 Fort Wayne, IN 46835 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/574c3ff41045d9e7797184cc1d23bd18.png
Atlanta AFRICAN AMERICAN Speed Dating for BLACK Singles ♥ Age 25-45,"09/11/2024 - 7, EDT","09/11/2024 - 8:30pm, EDT","5370 Stone Mountain Highway Stone Mountain, GA 30087 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/1022a3bca8bf1d7846ffa4074fae4419.png
The Black Journey: African-American History Walking Tour of Philadelphia,"07/06/2024 - 2pm, EDT",,"599 Market Street Philadelphia, PA 19106 United States",267.702.3479,,https://storage.googleapis.com/boroom.appspot.com/events/e5c5b3cf0788f364607e96f047470ea5.png
"Blues, Jazz and Emancipation Bus and Walking Tour: Deep Ellum","07/13/2024 - 10am, CDT","07/13/2024 - 2pm, CDT","1408 North Washington Avenue Dallas, TX 75204 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/350be4dca48b8489ae9b2705e116018f.png
NBFF Youth Cinema Throwback: Ruby Bridges,"07/12/2024 - 1, EDT","07/12/2024 - 2:30pm, EDT","49 Washington Street Newark, NJ 07102 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/81ea1e40fbc8b45192b56c6dad530d29.png
Beyond the Battlefield: A Civil War Walking Tour of Alexandria,"07/13/2024 - 10, EDT","07/13/2024 - 11:30am, EDT","614 Oronoco Street Alexandria, VA 22314 United States",548-1789,contact@leefendallhouse.org,https://storage.googleapis.com/boroom.appspot.com/events/d3eaddfeb52d947f7b70f71f2dc290d0.png
Martyrs and Memory Bus and Walking Tour: Dealey Plaza and Downtown,"07/27/2024 - 10am, CDT","07/27/2024 - 2pm, CDT","1408 North Washington Avenue Dallas, TX 75204 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/350a9dda8eca9c738de16963cb8b098d.png
Savvy Initiative Recognition Award (SIRA),"07/20/2024 - 7, PDT","07/20/2024 - 11:30pm, PDT","888 West Bonneville Avenue Las Vegas, NV 89106 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/71ed5d0511c4c51b5bb67e7eeb5ea9a8.png
OHIO AFRICAN AMERICAN FELLOWSHIP ANNUAL GATHERING,"09/12/2024 - 3pm, EDT","09/14/2024 - 10:30am, EDT","3600 Morse Road #Suite A Columbus, OH 43230 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/a2e2438c2a0708921318b993a0697c9a.png
African American Wellness Experience (AAWE),"09/28/2024 - 9am, CDT","09/28/2024 - 6pm, CDT","6075 Winchester Road Memphis, TN 38115 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/81228a8f93a6d855f9d0508b8f1e526b.png
African American Book Club:  The Deaf Blind Woman Who Conquered Harvard Law,"07/24/2024 - 6, CDT","07/24/2024 - 7:30pm, CDT","801 School Avenue Matteson, IL 60443 United States",748-4431,,https://storage.googleapis.com/boroom.appspot.com/events/cf44c33060d3d1376c4260693fbed66c.png
Descendants of Enslaved Communities Symposium & Descendants Day,"09/13/2024 - 8am, EDT","09/13/2024 - 5pm, EDT","233 4th Street Northwest Charlottesville, VA 22903 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/0bf4372261ff61a080fa27b559ca24c4.png
National Buffalo Soldiers Day Commemoration,"07/29/2024 - 6, MDT","07/29/2024 - 7pm, MDT","201 South 1460 East Salt Lake City, UT 84112 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/ce86ebeb39a60ae5a87fd8a96f8ccea2.png
"Family First: Captivating, Colorful, and Creative Accessories","08/10/2024 - 12, EDT","08/10/2024 - 2pm, EDT","551 South Tryon Street Charlotte, NC 28202 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/7a770aed643f0ab199bd85f928732ec6.png
2024 African American Culture and Arts Festival,"10/19/2024 - 12, EDT","10/19/2024 - 8pm, EDT","330 Town Center Avenue Northwest Suwanee, GA 30024 United States",,info@aacaf.net,https://storage.googleapis.com/boroom.appspot.com/events/c94fc9b9c43872b58d2de1dd3c2e88ff.png
5th-Quarter Bantaba,"07/13/2024 - 7, PDT","07/13/2024 - 8pm, PDT","1428 Alice Street Oakland, CA 94612 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/f57c185b1cb86dbb30dedb33e9e831f3.png
"Reeves, Hitchcock, Norman, & Franklin Family Reunion 2024 - Washington, DC","07/26/2024 - 12pm, EDT","07/28/2024 - 3pm, EDT","900 South Orme Street Arlington, VA 22204 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b0dd4cbff9ccb2c12f1d722a3938c733.png
Improv Class 201: Crafting Characters,"07/16/2024 - 6pm, CDT","09/03/2024 - 8pm, CDT","1045 Desire Street New Orleans, LA 70117 United States",,carrie@bigcouchnola.com,https://storage.googleapis.com/boroom.appspot.com/events/fcc1709d6770fe52493b4c4727eb0977.png
Movie Night At The 9th Floor Artists Collective,"07/19/2024 - 6, EDT","07/19/2024 - 8:30pm, EDT","1 South Washington Street Suite 220 Rochester, NY 14614 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/c436a4c43e731994f6edfb60b6dfec7a.png
Herbal Tea & Smoke Workshop,"07/14/2024 - 9, PDT","07/14/2024 - 11am, PDT","2311 S Street 3 Sacramento, CA 95816 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/32aa5787d63307177fe0d5d3365b4d9d.png
African Popup Festival 2024 - Summer Edition,"07/27/2024 - 12pm, EDT","07/28/2024 - 7pm, EDT","hillel plaza flatbush nostrand junction brooklyn, NY 11210 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/fec9baf1125844fbd2a267c6376643b5.png
AAAH's HUD-Approved Homebuyer Education Class,"07/27/2024 - 9am, PDT","07/27/2024 - 5pm, PDT","825 NE 20th Avenue Suite #100 Portland, OR 97232 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/a8b6f792f927db518d34b64393986d3a.png
NAREB-ROLAND SOMERVILLE GOLF TOURNAMENT,"07/31/2024 - 7am, CDT","07/31/2024 - 3pm, CDT","6514 Congress Drive New Orleans, LA 70126 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/981b0e583699fc45d60990ecfb3168f7.png
Noir Nouveau,"07/27/2024 - 7, EDT","07/27/2024 - 11pm, EDT","1127 Connecticut Avenue Northwest Washington, DC 20036 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/ba63bd3cfb2825a1f6ecd4c2ca71bcfa.png
Proclaiming Colorado's Black History Guided Tours with Adrian Miller,"07/13/2024 - 10:30, MDT","07/13/2024 - 11:30am, MDT","2205 Broadway Boulder, CO 80302 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/4b3515c5f4431afed7e879577c3bbc0a.png
Family First: “Pieces of Me” Collage,"10/05/2024 - 12, EDT","10/05/2024 - 2pm, EDT","551 South Tryon Street Charlotte, NC 28202 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/90c151fbc6ea6b4ff6ef755077d07d52.png
Karen Collins Presents:A Summer White Velvet Chair Experience at the Bessie,"07/28/2024 - 6, EDT","07/28/2024 - 9:30pm, EDT","200 East Martin Luther King Boulevard Chattanooga, TN 37403 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/69ee55af1058b70a39ae2dddfd663e9a.png
AfroSocaLove : Durham Black August One  Love Festival (Feat Maga Stories),,,"201 N Roxboro Street Durham, NC 27701 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/3bdbe71ce710de2e5a3ad8ef52bc5a78.png
The WOTCC Intl. 80th Holy Convocation & 70th IYFC Convention Activities,"07/29/2024 - 6pm, CDT","08/02/2024 - 6pm, CDT","64 South Water Street Mobile, AL 36602 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/74cba9efdcccca99ae7f6ae024f442b4.png
"""From Enslavement to Empowerment: The Story of the Belmead on the James""","07/27/2024 - 1, EDT","07/27/2024 - 3pm, EDT","7336 Granby Street Norfolk, VA 23505 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/fa9cde745fa68c797c6c0425a96f1f31.png
A Cocktail & A Story,"08/17/2024 - 6, CDT","08/17/2024 - 8pm, CDT","800 19th Avenue South Nashville, TN 37203 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/494f2fef7ccb460298921a86b3d60de9.png
"Houston Real Men, Real Talk","07/11/2024 - 6:30, CDT","07/11/2024 - 8:30pm, CDT","1701 Webster Street #suite e Houston, TX 77003 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/bafa4f8114b80d45d219a69684bcc080.png
African American Women's Health Walk,"09/28/2024 - 9am, CDT","09/28/2024 - 12pm, CDT","777 Yarbrough Road Fultondale, AL 35068 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/bbcb6ee55f0bf1be45a817a420449982.png
Simone Leigh at CAAM and LACMA with Jennifer Li,"08/03/2024 - 10:30am, PDT","08/03/2024 - 1:30pm, PDT","600 State Drive Los Angeles, CA 90037 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/85a16e1fccff2abe3a3ed52125183867.png
AfroSocaLove : Houston Reggaefest Official Pre-Party (Feat Maga Stories),,,"6909 Ashcroft Dr Suite 200 Houston, TX 77081 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/2a9560ac01d17036af7c48f9cacb2e5d.png
SCREENTALK NJ | GREATER THAN OURSELVES: The Legacy of Sigma Gamma Rho,"07/13/2024 - 12, EDT","07/13/2024 - 2pm, EDT","800 Park Avenue Plainfield, NJ 07060 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/eb2dfa3787b25819a62e89588bed4fc9.png
Sit A Spell Conversations: Civil Rights Act of 1964 with Prof Judith Scully,"07/09/2024 - 6:30, EDT","07/09/2024 - 8pm, EDT","2240 9th Ave S Saint Petersburg, FL 33712 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/470033bd4f3061f1d189386f50bba35c.png
12th Annual Contra Costa African American Community Baby Shower,"08/24/2024 - 10am, PDT","08/24/2024 - 2:30pm, PDT","2188 Crestview Drive Pittsburg, CA 94565 United States",707-648-1247,mnqsims@gmail.com,https://storage.googleapis.com/boroom.appspot.com/events/e86157a4800dff7f46640c423c6b838e.png
18th Annual Byron Motley Hero Golf Outing,"07/25/2024 - 8am, CDT","07/25/2024 - 2pm, CDT","7972 Mona Road Murfreesboro, TN 37129 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/228d1a98df4ace36a4ff0b5b70d3b47a.png
Patterns of History: West African-inspired Textile Printing Workshop,"07/13/2024 - 12, EDT","07/13/2024 - 1:30pm, EDT","9 Ten Broeck Place Albany, NY 12210 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/95ca658163a1745e7de8245a7eee41c4.png
2024 Detroit Black Men's Wellness Day,"07/27/2024 - 7am, EDT","07/27/2024 - 12pm, EDT","7616 Nevada Avenue Detroit, MI 48234 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/9ac0dc222ff99c22c110f1da912a5fc0.png
Opening Night S.E. Manly Afr. Amer. Film Fest  Benefiting Tech Exchange,"07/12/2024 - 6, PDT","07/12/2024 - 9pm, PDT","2323 Broadway Oakland, CA 94612 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/52f9562807c92523689b07fd857cad8f.png
It's in the Bag,"07/20/2024 - 10am, EDT","07/20/2024 - 12pm, EDT","125 Dale Drive Silver Spring, MD 20910 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b02189488192c2659f6589a55a689be6.png
Pittsburgh Black Men's Wellness Day 2024,"07/27/2024 - 7am, EDT","07/27/2024 - 12pm, EDT","7051 Thomas Boulevard Pittsburgh, PA 15208 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/84f5ebc6cdf828cc3ec1c822397bc8e5.png
Jim Beatty Invitational Scramble at Martin Downs Golf Course,"08/25/2024 - 9am, EDT","08/25/2024 - 2:30pm, EDT","3801 Southwest Greenwood Way Palm City, FL 34990 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/6b26388cec69fa08016122f4fcfcfa01.png
Black Uplift in the Freedman’s Era Bus and Walking Tour: Uptown Dallas,"08/17/2024 - 10am, CDT","08/17/2024 - 2pm, CDT","1408 North Washington Avenue Dallas, TX 75204 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/f581d43caaedbdc242b36b0c660b846d.png
Cousin's Weekend,"07/05/2024 - 7pm, EDT","07/07/2024 - 5pm, EDT","Alexandria, VA United States",,,
Phenomenal Woman Recognition Celebration,"08/24/2024 - 12, EDT","08/24/2024 - 2pm, EDT","4400 Richmond Road Warrensville Heights, OH 44128 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b05d51e2815b4ba9ab9b1259159067f2.png
VIP WEEKEND TABLE,"08/23/2024 - 9pm, EDT","08/25/2024 - 1am, EDT","300 Army Navy Drive Arlington, VA 22202 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/a0bbdb5f931a6b5f3599a45ccc5f08cd.png
2024 Mahoning Valley Black Men's Wellness Day,"08/03/2024 - 7am, EDT","08/03/2024 - 12pm, EDT","201 South Phelps Street Youngstown, OH 44503 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/b41e5a5481515bc9c42ad6a5871b6606.png
Montgomery-Ellis Family Reunion,,,"Washington D.C., DC, USA Washington, DC United States",,,https://storage.googleapis.com/boroom.appspot.com/events/2f084d21c92b9823985c1728615d5581.png
"""Still We Rise"" African Inspired  Fashion Gala","08/24/2024 - 3, PDT","08/24/2024 - 11pm, PDT","1 TBD Way San Francisco, CA 94013 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/40f8eee2da7038303b957be2cb7a7db8.png
Family First: Art as Meditation,"09/07/2024 - 12, EDT","09/07/2024 - 2pm, EDT","551 South Tryon Street Charlotte, NC 28202 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/7ff2c2dba1105f8c2420c2ac1c9b8826.png
Self Care: Yoga July 2024,"07/27/2024 - 11am, PDT","07/27/2024 - 12pm, PDT","600 State Drive Los Angeles, CA 90037 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/60eb77dbf0499703f6686786eb50833e.png
Film Festival Screening: Breaking Boundaries,"08/02/2024 - 6:30, EDT","08/02/2024 - 10pm, EDT","Cloyd Heck Marvin Center 800 21st Street Northwest Washington, DC 20052 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/be0733e176393f9c951da458154d1002.png
Bastille Day Week Tour Famous French-Americans Lafayette Square DC July 15!,"07/15/2024 - 5:30, EDT","07/15/2024 - 7:30pm, EDT","16th Street Northwest Washington, WA 20001 United States",1407805897,savvyveteran@gmail.com,https://storage.googleapis.com/boroom.appspot.com/events/3f1ca030c7f7f1525deb0258816b2ee6.png
Vendor Registration: African American Cultural Expo & Children's Book Fair,"07/20/2024 - 10am, EDT","07/20/2024 - 4pm, EDT","3033 Waldorf Market Place Waldorf, MD 20603 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/426023dff392e7ec3b5a8d9791774aca.png
Summer Vacation Trip,"08/15/2024 - 7am, EDT","08/17/2024 - 11pm, EDT","2796 New York 112 Medford, NY 11763 United States",,,https://storage.googleapis.com/boroom.appspot.com/events/d1069235db9d0eca76e9455d31a2b253.png
The Original Hampton Ladies Luncheon,"08/02/2024 - 7pm, EDT","08/03/2024 - 4pm, EDT","10209 Wincopin Circle Columbia, MD 21044 United States",730-3900,,https://storage.googleapis.com/boroom.appspot.com/events/c4d8b025926256154f86d318629d0a53.png
